Pendapatan_Bulanan,Rasio_Utang_Pendapatan,Skor_SLIK_OJK,Jumlah_Pinjaman_Aktif,Jenis_Kelamin,Suku,Jenis_Pekerjaan,Kode_Pos,Keputusan
7303056,45.7,3 - Kurang Lancar,0,Laki-laki,Tionghoa,Karyawan Swasta,60241,Ditolak
2673776,31.93,2 - DPK,2,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
5722015,55.7,1 - Lancar,0,Perempuan,Jawa,Wiraswasta,50132,Ditolak
2413911,60.0,2 - DPK,0,Laki-laki,Batak,Karyawan Swasta,50132,Ditolak
10602969,29.32,1 - Lancar,2,Laki-laki,Jawa,Pengemudi Online,50132,Disetujui
6300786,38.65,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
19902145,60.0,3 - Kurang Lancar,4,Perempuan,Lainnya,Wiraswasta,50132,Ditolak
5654960,18.43,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
29670521,10.0,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,50132,Disetujui
5343677,40.69,1 - Lancar,0,Perempuan,Batak,Karyawan Swasta,12190,Ditolak
9641833,13.78,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
10737929,41.34,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
12231053,26.43,2 - DPK,5,Laki-laki,Sunda,PNS,12190,Disetujui
9868364,19.95,1 - Lancar,2,Perempuan,Batak,PNS,12190,Disetujui
14951290,44.41,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
10191994,39.68,1 - Lancar,5,Laki-laki,Jawa,PNS,10110,Disetujui
6230347,23.88,3 - Kurang Lancar,1,Perempuan,Lainnya,Karyawan Swasta,12190,Ditolak
7349643,53.48,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
8544165,15.41,1 - Lancar,3,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
2743206,25.97,1 - Lancar,0,Laki-laki,Sunda,Pengemudi Online,60241,Disetujui
