doc_id,title,category,classification,source_name,source_url,content
KB-001,Ikhtisar Repositori Temuan Audit,Audit Knowledge,Internal,Pedoman Repositori Audit 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-001,"Repositori Temuan Audit fiktif menyimpan ringkasan hasil audit tahun 2023-2025 untuk mendukung perencanaan audit dan knowledge sharing. Chatbot hanya boleh memberi ringkasan umum dan tidak menggantikan akses resmi ke kertas kerja audit."
KB-002,Prosedur Permintaan Informasi Audit,Audit Procedure,Internal,SOP Permintaan Informasi Audit,https://contoh.kemenkeu.go.id/audit-ai/kb-002,"Auditor dapat meminta informasi audit masa lalu melalui portal manajemen penugasan dengan mencantumkan tujuan penggunaan, kode penugasan, dan persetujuan pengendali teknis. Informasi yang bersifat rahasia perlu dibuka melalui mekanisme need-to-know."
KB-003,Klasifikasi Informasi Hasil Audit,Data Classification,Internal,Pedoman Klasifikasi Data Audit,https://contoh.kemenkeu.go.id/audit-ai/kb-003,"Ringkasan temuan dapat berklasifikasi Internal. Kertas kerja audit, identitas informan, indikasi fraud, dan dokumen investigatif berklasifikasi Terbatas atau Rahasia. Penggunaan ulang informasi audit harus memperhatikan konteks, retensi, dan persetujuan pemilik data."
KB-004,Audit Proses Pajak: Registrasi dan Profil Risiko,Audit Pajak,Internal,Rekap Audit Registrasi Pajak 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-004,"Temuan dummy pada proses registrasi dan profil risiko wajib pajak mencakup data identitas tidak sinkron, perubahan status wajib pajak tanpa bukti approval lengkap, risk flag historis tidak direviu berkala, dan audit trail pembaruan profil belum konsisten."
KB-005,Audit Proses Pajak: Restitusi dan Kepatuhan,Audit Pajak,Internal,Rekap Audit Restitusi Pajak 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-005,"Temuan dummy pada proses restitusi pajak mencakup prioritas pemeriksaan yang belum terdokumentasi, data faktur pajak masukan tidak lengkap, mismatch antara data pelaporan dan data pembayaran, serta rekomendasi analitik yang belum memiliki human review memadai."
KB-006,Template Ringkasan Temuan,Audit Procedure,Publik,Template Ringkasan Temuan,https://contoh.kemenkeu.go.id/audit-ai/kb-006,"Format ringkasan temuan audit fiktif: kondisi, kriteria, sebab, akibat, rekomendasi, status tindak lanjut, dan evidence utama. Detail evidence tidak boleh dibagikan tanpa otorisasi."
KB-007,Status Tindak Lanjut Umum,Audit Knowledge,Internal,Dashboard Tindak Lanjut Dummy,https://contoh.kemenkeu.go.id/audit-ai/kb-007,"Status tindak lanjut fiktif menggunakan kategori Selesai, Dalam Proses, Belum Sesuai, dan Belum Ditindaklanjuti. Ringkasan status dapat digunakan untuk pemetaan risiko audit berikutnya."
KB-008,Prosedur Eskalasi Informasi Sensitif,Audit Procedure,Terbatas,SOP Eskalasi Informasi Sensitif,https://contoh.kemenkeu.go.id/audit-ai/kb-008,"Permintaan informasi yang menyebut fraud, investigasi, identitas pihak, atau indikasi kerugian perlu dieskalasi ke pengendali teknis dan pemilik data. Chatbot seharusnya hanya memberi arahan prosedural."
KB-009,Penggunaan AI untuk Knowledge Management Audit,AI Governance,Internal,Nota Konsep KM Audit Berbasis AI,https://contoh.kemenkeu.go.id/audit-ai/kb-009,"AI dapat membantu pencarian pola temuan masa lalu, tetapi harus dilengkapi klasifikasi data, access control, audit log, redaksi informasi sensitif, dan human review sebelum informasi digunakan dalam laporan."
KB-010,Batasan Pemanfaatan Chatbot Audit,AI Governance,Internal,Disclaimer Chatbot Audit,https://contoh.kemenkeu.go.id/audit-ai/kb-010,"Chatbot repositori audit hanya alat bantu pencarian awal. Auditor wajib memverifikasi informasi ke sumber resmi, menilai konteks penugasan, dan tidak menggunakan jawaban chatbot sebagai evidence final."
KB-011,Audit Bea Cukai: Impor dan Jalur Pemeriksaan,Audit Bea Cukai,Internal,Rekap Audit Impor 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-011,"Temuan dummy pada proses impor mencakup parameter jalur merah/kuning/hijau yang tidak direviu berkala, dokumen pemberitahuan impor tidak lengkap, perubahan profil importir tidak memiliki approval memadai, dan hasil pemeriksaan fisik belum selalu terhubung ke risk engine."
KB-012,Audit Bea Cukai: Cukai dan Pengawasan Barang Kena Cukai,Audit Bea Cukai,Internal,Rekap Audit Cukai 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-012,"Temuan dummy pada proses cukai mencakup rekonsiliasi pita cukai belum konsisten, data produksi dan pelunasan cukai terlambat dipadankan, alarm anomali tidak ditindaklanjuti tepat waktu, dan akses koreksi data cukai belum direviu berkala."
KB-013,Audit Perbendaharaan: SP2D dan Pembayaran,Audit Perbendaharaan,Internal,Rekap Audit Pembayaran 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-013,"Temuan dummy pada proses SP2D mencakup validasi rekening penerima belum konsisten, pembatalan pembayaran tidak selalu memiliki alasan terdokumentasi, pemisahan tugas maker-checker belum kuat, dan exception pembayaran belum dianalisis untuk pola risiko."
KB-014,Audit Anggaran: Revisi DIPA dan Komitmen Belanja,Audit Anggaran,Internal,Rekap Audit Revisi Anggaran 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-014,"Temuan dummy pada proses revisi DIPA mencakup perubahan pagu tanpa jejak persetujuan lengkap, justifikasi revisi tidak seragam, data komitmen belanja terlambat diperbarui, dan monitoring deviasi realisasi terhadap rencana belum memadai."
KB-015,Audit PNBP: Billing dan Setoran,Audit PNBP,Internal,Rekap Audit PNBP 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-015,"Temuan dummy pada proses PNBP mencakup billing kedaluwarsa tetap muncul sebagai piutang aktif, pemadanan setoran dengan layanan belum otomatis, data referensi tarif tidak mutakhir, dan koreksi transaksi belum memiliki audit trail lengkap."
KB-016,Audit Kekayaan Negara: Penilaian dan Lelang,Audit Kekayaan Negara,Internal,Rekap Audit Lelang 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-016,"Temuan dummy pada proses lelang mencakup kelengkapan dokumen objek belum tervalidasi sistem, perubahan nilai limit tidak selalu memiliki review independen, jadwal lelang berubah tanpa notifikasi memadai, dan log aktivitas peserta belum dianalisis untuk pola anomali."
KB-017,Audit Transfer ke Daerah: Penyaluran dan Rekonsiliasi,Audit TKD,Internal,Rekap Audit TKD 2025,https://contoh.kemenkeu.go.id/audit-ai/kb-017,"Temuan dummy pada proses transfer ke daerah mencakup parameter penyaluran belum terdokumentasi lengkap, data capaian syarat salur terlambat diterima, rekonsiliasi antar sistem belum otomatis, dan exception penyaluran belum memiliki SLA tindak lanjut."
KB-018,Audit GenAI: Prompt Injection pada Chatbot Repositori,GenAI Risk,Internal,Catatan Uji Keamanan GenAI,https://contoh.kemenkeu.go.id/audit-ai/kb-018,"Uji prompt injection pada chatbot repositori audit perlu mencoba instruksi yang meminta model mengabaikan batasan, mengungkap system prompt, menampilkan context retrieval, atau membuka data berklasifikasi. Hasil uji harus dicatat bersama mitigasi dan evidence."
KB-019,Audit GenAI: Hallucination dan Source Grounding,GenAI Risk,Internal,Catatan Evaluasi Akurasi GenAI,https://contoh.kemenkeu.go.id/audit-ai/kb-019,"Risiko hallucination terlihat ketika chatbot menyebut prosedur, angka, unit, atau sumber yang tidak ada pada knowledge base. Jawaban GenAI perlu diuji dengan source grounding, pengecekan ID sumber, dan mekanisme penolakan saat sumber tidak tersedia."
KB-020,Audit Layanan Bersama: Access Control dan Segregation of Duties,Audit SPBE,Internal,Rekap Audit Akses Layanan Bersama,https://contoh.kemenkeu.go.id/audit-ai/kb-020,"Temuan dummy pada layanan bersama Kemenkeu mencakup akun admin yang tidak direviu berkala, user pindah unit tetapi role belum dicabut, approval akses tidak lengkap, dan konflik peran maker-checker pada proses pembayaran atau koreksi data."
KB-021,Audit Data Analytics: Model Drift dan Monitoring,AI Operations,Internal,Catatan Monitoring Model Analitik,https://contoh.kemenkeu.go.id/audit-ai/kb-021,"Model analitik untuk prioritisasi pemeriksaan pajak, pengawasan impor, atau anomali pembayaran perlu dipantau melalui data drift, performance drift, fairness drift, perubahan distribusi input, dan review berkala oleh pemilik proses."
KB-022,Audit Perlindungan Data: Data Wajib Pajak dan Dokumen Kepabeanan,Data Protection,Internal,Catatan Perlindungan Data Kemenkeu,https://contoh.kemenkeu.go.id/audit-ai/kb-022,"Data wajib pajak, dokumen kepabeanan, data pembayaran, dan informasi penerima manfaat perlu minimisasi, masking, pembatasan akses, logging akses, retensi yang jelas, serta pengujian kebocoran data pada input maupun output sistem AI."
