taxpayer_id,taxpayer_type,sector,annual_revenue,revenue_growth,tax_to_revenue_ratio,late_filing_count,correction_history_count,related_party_transactions,kpp_region,pkp_status,business_size,cash_transaction_ratio,e_invoice_mismatch_rate,prior_audit_adjustment_amount,demographic_group,leakage_previous_system_score,risk_probability_target,audit_risk_label
WP-2026-00001,Orang Pribadi,Konstruksi,50000000.0,-0.0637,0.0465,3,1,0,KPP Delta,PKP,Mikro,0.1994,0.023,0.0,Group B,60.54,59.1,0
WP-2026-00002,Badan,Digital,50000000.0,0.0517,0.132,2,0,0,KPP Gamma,PKP,Kecil,0.149,0.005,290949.0,Group A,35.51,30.72,0
WP-2026-00003,Orang Pribadi,Jasa,50000000.0,-0.3211,0.2172,1,0,0,KPP Beta,PKP,Menengah,0.1111,0.0472,0.0,Group B,17.29,26.71,0
WP-2026-00004,Badan,Jasa,50000000.0,0.0248,0.0772,1,1,1,KPP Delta,PKP,Kecil,0.3179,0.0158,1432999.0,Group A,13.55,17.54,0
WP-2026-00005,Badan,Transportasi,50000000.0,-0.3965,0.1122,2,0,0,KPP Alpha,PKP,Mikro,0.0502,0.0257,400809.0,Group A,30.56,34.85,1
WP-2026-00006,Orang Pribadi,Manufaktur,50000000.0,0.3193,0.0541,2,1,0,KPP Delta,PKP,Kecil,0.0612,0.1502,0.0,Group B,42.34,43.55,0
WP-2026-00007,Orang Pribadi,Konstruksi,50000000.0,0.2144,0.0316,2,0,1,KPP Gamma,PKP,Kecil,0.1041,0.0657,0.0,Group B,83.49,83.69,0
WP-2026-00008,Orang Pribadi,Jasa,50000000.0,-0.0087,0.0296,2,1,1,KPP Alpha,Non-PKP,Kecil,0.322,0.069,603358.0,Group C,100.0,97.22,1
WP-2026-00009,Badan,,50000000.0,0.0479,0.0562,0,0,0,KPP Alpha,Non-PKP,Menengah,0.1605,0.0199,231931.0,Group C,23.01,22.41,0
WP-2026-00010,Badan,Konstruksi,50000000.0,0.3237,0.0172,2,0,0,KPP Delta,PKP,Kecil,0.1242,0.0513,0.0,Group C,91.26,95.71,1
WP-2026-00011,Badan,Perdagangan,50000000.0,-0.2835,0.0719,0,0,1,KPP Beta,Non-PKP,Menengah,0.3958,0.2426,205885.0,Group C,78.04,64.91,1
WP-2026-00012,Orang Pribadi,Perdagangan,50000000.0,0.1453,0.0435,0,0,0,KPP Epsilon,Non-PKP,Menengah,0.0547,0.0175,4272227.0,Group C,71.37,72.96,0
WP-2026-00013,Badan,Manufaktur,50000000.0,0.3038,0.0505,1,1,0,KPP Delta,PKP,Besar,0.4761,0.1912,1080934.0,Group A,18.13,23.57,0
WP-2026-00014,Orang Pribadi,Konstruksi,50000000.0,-0.4903,0.2199,1,1,0,KPP Delta,PKP,Mikro,0.2301,0.0514,0.0,Group B,21.09,32.4,1
WP-2026-00015,Badan,Transportasi,50000000.0,0.2992,0.1115,1,0,1,KPP Beta,PKP,Mikro,0.1733,0.1155,0.0,Group A,26.9,26.36,0
WP-2026-00016,Badan,Perdagangan,50000000.0,-0.4557,0.0532,1,2,0,KPP Delta,Non-PKP,Kecil,0.0693,0.127,268250.0,Group A,55.59,51.45,0
WP-2026-00017,Badan,Perdagangan,58490943.0,0.0424,0.0617,1,0,0,KPP Epsilon,Non-PKP,Kecil,0.218,0.1465,2994399.0,Group A,7.47,14.31,0
WP-2026-00018,Badan,Digital,50000000.0,-0.2923,0.0368,1,1,0,KPP Alpha,PKP,Kecil,0.0881,0.1042,0.0,Group C,97.26,93.51,1
WP-2026-00019,Orang Pribadi,Perdagangan,56719189.0,0.538,0.0491,0,2,0,KPP Beta,Non-PKP,Menengah,0.3917,0.0421,0.0,Group C,47.39,46.89,1
WP-2026-00020,Badan,Dagang,50000000.0,-0.2903,0.1645,1,1,0,KPP Beta,PKP,Kecil,0.2874,0.0831,3102091.0,Group D,37.19,47.83,0
WP-2026-00021,Orang Pribadi,Jasa,50000000.0,-0.4481,0.0663,1,5,0,KPP Beta,PKP,Mikro,0.499,0.016,0.0,Group D,85.42,81.67,0
WP-2026-00022,Badan,Manufaktur,50000000.0,0.1227,0.107,0,0,0,KPP Delta,PKP,Kecil,0.1114,0.0797,0.0,Group D,9.67,11.27,0
WP-2026-00023,Orang Pribadi,Transportasi,50000000.0,-0.0524,0.0581,1,0,0,KPP Gamma,Non-PKP,Menengah,0.0756,0.1529,0.0,Group A,11.26,18.01,0
WP-2026-00024,Orang Pribadi,Konstruksi,50000000.0,-0.4015,0.0612,0,1,1,KPP Gamma,PKP,Besar,0.086,0.1752,0.0,Group C,80.86,75.12,1
WP-2026-00025,Orang Pribadi,Konstruksi,50000000.0,0.2483,0.0967,3,1,0,KPP Beta,PKP,Menengah,0.6617,0.0627,0.0,Group C,94.82,89.19,1
WP-2026-00026,Badan,Perdagangan,50000000.0,-0.5573,0.2211,2,1,0,KPP Alpha,Non-PKP,Menengah,0.2474,0.273,0.0,Group C,58.75,65.64,1
WP-2026-00027,Badan,Jasa,50000000.0,-0.2516,0.0524,2,0,0,KPP Beta,PKP,Menengah,0.2554,0.1569,0.0,Group A,40.7,38.94,1
WP-2026-00028,Badan,Jasa,50000000.0,-0.1041,0.048,2,1,0,KPP Delta,Non-PKP,Menengah,0.1931,0.0189,1009011.0,Group A,29.2,27.98,0
